post_rate_est,H_t,phi_t,D_t,n_total,centroid_dist_surface_mid,centroid_dist_mid_residue,centroid_dist_surface_residue,Timestamp_UTC
,,,,,,,,2026-03-23 03:58:46 UTC
,,,,,,,,2026-03-23 07:11:41 UTC
,,,,,,,,2026-03-23 13:09:13 UTC
,,,,,,,,2026-03-23 18:56:18 UTC
,,,,,,,,2026-03-24 02:07:27 UTC
,,,,,,,,2026-03-24 07:05:20 UTC
,,,,,,,,2026-03-24 13:13:25 UTC
,,,,,,,,2026-03-24 19:04:07 UTC
,,,,,,,,2026-03-25 02:12:28 UTC
,,,,,,,,2026-03-25 07:03:15 UTC
,,,,,,,,2026-03-25 13:12:11 UTC
,,,,,,,,2026-03-26 02:26:20 UTC
,,,,,,,,2026-03-26 07:10:17 UTC
,,,,,,,,2026-03-26 13:17:19 UTC
,,,,,,,,2026-03-26 19:07:02 UTC
,,,,,,,,2026-03-27 02:27:44 UTC
,,,,,,,,2026-03-27 07:08:46 UTC
,,,,,,,,2026-03-28 02:10:50 UTC
,,,,,,,,2026-03-28 12:56:41 UTC
,,,,,,,,2026-03-29 02:30:29 UTC
908.4,,,,,,,,2026-03-29 07:04:18 UTC
818.9,,,,,,,,2026-03-30 02:33:12 UTC
609.5,,,,,,,,2026-03-30 07:43:06 UTC
631.4,,,,,,,,2026-03-30 13:21:32 UTC
1806.9,,,,,,,,2026-03-30 19:01:19 UTC
518.6,,,,,,,,2026-03-31 02:27:55 UTC
227,,,,,,,,2026-03-31 07:15:38 UTC
659.4,,,,,,,,2026-03-31 13:20:04 UTC
511.7,,,,,,,,2026-04-01 02:38:50 UTC
514.6,,,,,,,,2026-04-01 07:21:37 UTC
535.9,,,,,,,,2026-04-01 13:23:38 UTC
964.5,,,,,,,,2026-04-01 19:03:16 UTC
603,,,,,,,,2026-04-02 02:24:44 UTC
854.2,,,,,,,,2026-04-02 07:13:48 UTC
698.5,,,,,,,,2026-04-02 13:15:10 UTC
705.8,,,,,,,,2026-04-02 18:57:41 UTC
2036.6,,,,,,,,2026-04-03 02:26:10 UTC
592.3,,,,,,,,2026-04-03 07:10:02 UTC
1165.4,,,,,,,,2026-04-03 13:05:05 UTC
705.7,,,,,,,,2026-04-03 18:49:45 UTC
1441.7,,,,,,,,2026-04-04 02:10:43 UTC
1573.6,,,,,,,,2026-04-04 07:02:04 UTC
505.1,,,,,,,,2026-04-04 12:57:08 UTC
473.5,,,,,,,,2026-04-04 18:42:27 UTC
998.5,,,,,,,,2026-04-05 02:32:47 UTC
898,10.8456,0.122873,,750,0.064944,0.099276,0.050742,2026-04-05 18:35:02 UTC
343.7,10.9068,0.125127,0.012055,750,0.032097,0.042875,0.036779,2026-04-05 19:55:32 UTC
431.6,10.8864,0.120323,0.017737,750,0.026288,0.089891,0.085397,2026-04-05 21:24:12 UTC
486.8,10.966,0.121505,0.015393,750,0.019119,0.028762,0.023873,2026-04-05 22:15:55 UTC
556.9,10.7186,0.128077,0.023191,750,0.077619,0.071198,0.021781,2026-04-05 23:39:45 UTC
851,10.9465,0.116874,0.025977,750,0.032846,0.0299,0.028192,2026-04-06 02:32:12 UTC
595.2,10.7603,0.136099,0.028342,750,0.07743,0.079506,0.019873,2026-04-06 07:44:59 UTC
621.9,10.9881,0.117127,0.03474,750,0.034881,0.034725,0.038807,2026-04-06 13:12:16 UTC
2118.6,10.8861,0.126514,0.014585,750,0.059892,0.080688,0.027143,2026-04-06 19:00:54 UTC
633.8,10.9564,0.116367,0.019029,750,0.038928,0.029289,0.028527,2026-04-07 02:26:58 UTC
698.6,10.9761,0.114228,0.013551,750,0.045547,0.039909,0.021784,2026-04-07 07:18:42 UTC
891.1,10.9426,0.11976,0.008845,750,0.141621,0.123967,0.029513,2026-04-07 13:20:22 UTC
1142.9,10.9044,0.117104,0.01405,750,0.025777,0.024892,0.025749,2026-04-07 19:05:10 UTC
516.2,10.8627,0.128578,0.048736,750,0.087401,0.113603,0.021034,2026-04-08 02:28:04 UTC
347,10.9506,0.120076,0.057109,750,0.057534,0.035777,0.050206,2026-04-08 07:21:07 UTC
600.9,10.9551,0.114683,0.010375,750,0.033041,0.048662,0.043484,2026-04-08 13:21:29 UTC
696.8,10.9767,0.114712,0.010168,750,0.029204,0.029204,0.026283,2026-04-08 19:17:51 UTC
378,10.9982,0.113206,0.007627,750,0.055114,0.03528,0.02467,2026-04-09 02:14:15 UTC
376.6,10.9651,0.113777,0.010215,750,0.028728,0.029613,0.030978,2026-04-09 07:24:09 UTC
442.9,11.0087,0.112719,0.01053,750,0.034237,0.029253,0.024429,2026-04-09 13:29:16 UTC
718.2,10.7649,0.123154,0.028085,750,0.06249,0.062432,0.025752,2026-04-09 19:08:27 UTC
557.4,10.8526,0.116589,0.016377,750,0.098595,0.080919,0.030847,2026-04-10 02:33:58 UTC
515.8,10.9021,0.113644,0.014619,750,0.032943,0.065126,0.064808,2026-04-10 07:29:12 UTC
448.5,11.0394,0.112578,0.023446,750,0.030677,0.093927,0.110452,2026-04-10 13:11:24 UTC
353.5,10.9776,0.108703,0.018718,750,0.029738,0.031536,0.029414,2026-04-10 18:54:53 UTC
514.2,10.957,0.115437,0.011445,750,0.040858,0.033284,0.027141,2026-04-11 02:12:50 UTC
1124.4,11.0025,0.114533,0.013864,750,0.028853,0.0349,0.033817,2026-04-11 07:02:35 UTC
326.1,11.0259,0.112902,0.0102,750,0.032706,0.032449,0.026262,2026-04-11 12:59:11 UTC
586.2,11.0442,0.112696,0.008847,750,0.01913,0.027176,0.025523,2026-04-11 18:45:09 UTC
494,10.9925,0.116648,0.009716,750,0.027502,0.027584,0.029135,2026-04-12 02:35:25 UTC
540.8,10.9541,0.114696,0.013733,750,0.020984,0.029645,0.029142,2026-04-12 07:15:49 UTC
1141.8,11.0241,0.115704,0.008845,750,0.030995,0.031507,0.025246,2026-04-12 13:02:43 UTC
606.9,10.997,0.11048,0.009535,750,0.033435,0.034536,0.030254,2026-04-12 18:52:10 UTC
395.3,11.0458,0.105422,0.012406,750,0.030451,0.039989,0.043369,2026-04-13 02:40:29 UTC
728.2,10.97,0.10913,0.013109,750,0.03879,0.042202,0.036281,2026-04-13 08:04:59 UTC
378.4,11.0556,0.107011,0.016456,750,0.025422,0.034886,0.032088,2026-04-13 13:27:15 UTC
469.4,11.0718,0.105694,0.010161,750,0.035364,0.037708,0.035403,2026-04-13 19:15:38 UTC
474.8,10.9706,0.107997,0.017077,750,0.029502,0.03339,0.029806,2026-04-14 02:34:12 UTC
332,10.9291,0.106437,0.014253,750,0.02956,0.034002,0.038546,2026-04-14 07:49:24 UTC
624.2,10.9462,0.108434,0.015046,750,0.027649,0.034044,0.033385,2026-04-14 13:27:10 UTC
530.5,10.9187,0.111892,0.013297,750,0.022632,0.032258,0.039647,2026-04-14 19:17:22 UTC
900.6,10.8848,0.110606,0.011385,750,0.033946,0.034685,0.031607,2026-04-15 02:32:31 UTC
573.9,10.8624,0.117689,0.009998,750,0.035491,0.025568,0.027172,2026-04-15 07:49:22 UTC
398.7,10.9589,0.114349,0.011658,750,0.030442,0.02736,0.023672,2026-04-15 13:25:43 UTC
548.3,10.9281,0.120407,0.008205,750,0.035688,0.026966,0.025491,2026-04-15 19:19:35 UTC
456.3,10.9249,0.111132,0.014796,750,0.024565,0.038698,0.040591,2026-04-16 02:39:10 UTC
295,10.9033,0.108521,0.0127,750,0.029531,0.027665,0.032413,2026-04-16 07:47:42 UTC
432.8,10.9163,0.108885,0.013564,750,0.028257,0.032873,0.035264,2026-04-16 13:45:15 UTC
626.3,10.9391,0.109712,0.012402,750,0.036616,0.034142,0.031364,2026-04-16 19:15:27 UTC
574.4,10.914,0.109407,0.010868,750,0.028658,0.043429,0.047274,2026-04-17 02:35:07 UTC
375.7,10.9526,0.106419,0.012459,750,0.029804,0.031515,0.028785,2026-04-17 07:48:05 UTC
738.3,10.9488,0.115246,0.011305,750,0.033315,0.033424,0.02572,2026-04-17 13:20:52 UTC
2124.4,10.9297,0.116287,0.008992,750,0.031641,0.032396,0.032705,2026-04-17 19:01:50 UTC
